NAME,SEX,SPEECH,DECLINATION,REFERENCE
Abdiasz,false,NOUN,M,
Abdiasz,false,NOUN,D,Abdiasz
Abdiasz,false,NOUN,C,Abdiasz
Abdiasz,false,NOUN,B,Abdiasz
Abdiasz,false,NOUN,N,Abdiasz
Abdiasz,false,NOUN,Ms,Abdiasz
Abdon,false,NOUN,M,
Abel,false,NOUN,M,
Abercjusz,false,NOUN,M,
Abercjusz,false,NOUN,D,Abercjusz
Abercjusz,false,NOUN,C,Abercjusz
Abercjusz,false,NOUN,B,Abercjusz
Abercjusz,false,NOUN,N,Abercjusz
Abercjusz,false,NOUN,Ms,Abercjusz
Abigail,false,NOUN,M,
Abraham,false,NOUN,M,
Absalon,false,NOUN,M,
Achacjusz,false,NOUN,M,
Achacjusz,false,NOUN,D,Achacjusz
Achacjusz,false,NOUN,C,Achacjusz
Achacjusz,false,NOUN,B,Achacjusz
Achacjusz,false,NOUN,N,Achacjusz
Achacjusz,false,NOUN,Ms,Achacjusz
Achacy,false,NOUN,M,
Achacy,false,NOUN,D,Achacy
Achacy,false,NOUN,C,Achacy
Achacy,false,NOUN,B,Achacy
Achacy,false,NOUN,N,Achacy
Achacy,false,NOUN,Ms,Achacy
Achilles,false,NOUN,M,
Ada,false,NOUN,M,
Ada,false,NOUN,D,Ada
Ada,false,NOUN,C,Ada
Ada,false,NOUN,B,Ada
Ada,false,NOUN,N,Ada
Ada,false,NOUN,Ms,Ada
Adalbert,false,NOUN,M,
Adalbert,false,NOUN,D,Adalbert
Adalbert,false,NOUN,C,Adalbert
Adalbert,false,NOUN,B,Adalbert
Adalbert,false,NOUN,N,Adalbert
Adalbert,false,NOUN,Ms,Adalbert
Adam,false,NOUN,M,
Adamina,false,NOUN,M,
Adamina,false,NOUN,D,Adamina
Adamina,false,NOUN,C,Adamina
Adamina,false,NOUN,B,Adamina
Adamina,false,NOUN,N,Adamina
Adamina,false,NOUN,Ms,Adamina
Adaukt,false,NOUN,M,
Addar,false,NOUN,M,
Adela,false,NOUN,M,
Adela,false,NOUN,D,Adela
Adela,false,NOUN,C,Adela
Adela,false,NOUN,B,Adela
Adela,false,NOUN,N,Adela
Adela,false,NOUN,Ms,Adela
Adelajda,false,NOUN,M,
Adelajda,false,NOUN,D,Adelajda
