NAME,SEX,SPEECH,DECLINATION,REFERENCE
Aarona,true,NOUN,D:B,Aaron
Aaron,true,NOUN,M,Aaron
Aaronem,true,NOUN,N,Aaron
Aaronie,true,NOUN,Ms,Aaron
Aaronie,true,NOUN,W,Aaron
Aaronowi,true,NOUN,C,Aaron
Abaddona,true,NOUN,D:B,Abaddon
Abaddon,true,NOUN,M,Abaddon
Abaddonem,true,NOUN,N,Abaddon
Abaddonie,true,NOUN,Ms,Abaddon
Abaddonie,true,NOUN,W,Abaddon
Abaddonowi,true,NOUN,C,Abaddon
Abarisa,true,NOUN,D:B,Abaris
Abaris,true,NOUN,M,Abaris
Abarisem,true,NOUN,N,Abaris
Abarisie,true,NOUN,Ms,Abaris
Abarisie,true,NOUN,W,Abaris
Abarisowi,true,NOUN,C,Abaris
Abdiasza,true,NOUN,D:B,Abdiasz
Abdiasz,true,NOUN,M,Abdiasz
Abdiaszem,true,NOUN,N,Abdiasz
Abdiaszowi,true,NOUN,C,Abdiasz
Abdiaszu,true,NOUN,Ms,Abdiasz
Abdiaszu,true,NOUN,W,Abdiasz
Abdona,true,NOUN,D:B,Abdon
Abdon,true,NOUN,M,Abdon
Abdonem,true,NOUN,N,Abdon
Abdonie,true,NOUN,Ms,Abdon
Abdonie,true,NOUN,W,Abdon
Abdonowi,true,NOUN,C,Abdon
Abel,true,NOUN,M,Abel
Abla,true,NOUN,D:B,Abel
Ablem,true,NOUN,N,Abel
Ablowi,true,NOUN,C,Abel
Ablu,true,NOUN,Ms,Abel
Ablu,true,NOUN,W,Abel
Abercjusza,true,NOUN,D:B,Abercjusz
Abercjusz,true,NOUN,M,Abercjusz
Abercjuszem,true,NOUN,N,Abercjusz
Abercjuszowi,true,NOUN,C,Abercjusz
Abercjuszu,true,NOUN,Ms,Abercjusz
Abercjuszu,true,NOUN,W,Abercjusz
Abiasza,true,NOUN,D:B,Abiasz
Abiasz,true,NOUN,M,Abiasz
Abiaszem,true,NOUN,N,Abiasz
Abiaszowi,true,NOUN,C,Abiasz
Abiaszu,true,NOUN,Ms,Abiasz
Abiaszu,true,NOUN,W,Abiasz
Abiatara,true,NOUN,D:B,Abiatar
Abiatar,true,NOUN,M,Abiatar
Abiatarem,true,NOUN,N,Abiatar
Abiatarowi,true,NOUN,C,Abiatar
Abiatarze,true,NOUN,Ms,Abiatar
Abiatarze,true,NOUN,W,Abiatar
Abijjama,true,NOUN,D:B,Abijjam
Abijjam,true,NOUN,M,Abijjam
Abijjamem,true,NOUN,N,Abijjam
Abijjamie,true,NOUN,Ms,Abijjam
Abijjamie,true,NOUN,W,Abijjam
Abijjamowi,true,NOUN,C,Abijjam
Abimeleka,true,NOUN,D:B,Abimelek
Abimelek,true,NOUN,M,Abimelek
Abimelekiem,true,NOUN,N,Abimelek
Abimelekowi,true,NOUN,C,Abimelek
Abimeleku,true,NOUN,Ms,Abimelek
Abimeleku,true,NOUN,W,Abimelek
Abirama,true,NOUN,D:B,Abiram
Abiram,true,NOUN,M,Abiram
Abiramem,true,NOUN,N,Abiram
Abiramie,true,NOUN,Ms,Abiram
Abiramie,true,NOUN,W,Abiram
Abiramowi,true,NOUN,C,Abiram
Abiszaja,true,NOUN,D:B,Abiszaj
Abiszaj,true,NOUN,M,Abiszaj
Abiszajem,true,NOUN,N,Abiszaj
Abiszajowi,true,NOUN,C,Abiszaj
Abiszaju,true,NOUN,Ms,Abiszaj
Abiszaju,true,NOUN,W,Abiszaj
Abnera,true,NOUN,D:B,Abner
Abner,true,NOUN,M,Abner
Abnerem,true,NOUN,N,Abner
Abnerowi,true,NOUN,C,Abner
Abnerze,true,NOUN,Ms,Abner
Abnerze,true,NOUN,W,Abner
Abrahama,true,NOUN,D:B,Abraham
Abraham,true,NOUN,M,Abraham
Abrahamem,true,NOUN,N,Abraham
Abrahamie,true,NOUN,Ms,Abraham
Abrahamie,true,NOUN,W,Abraham
Abrahamowi,true,NOUN,C,Abraham
Abraksasa,true,NOUN,D:B,Abraksas
Abraksas,true,NOUN,M,Abraksas
Abraksasem,true,NOUN,N,Abraksas
Abraksasie,true,NOUN,Ms,Abraksas
Abraksasie,true,NOUN,W,Abraksas
Abraksasowi,true,NOUN,C,Abraksas
Abrama,true,NOUN,D:B,Abram
Abram,true,NOUN,M,Abram
Abramem,true,NOUN,N,Abram
Abramie,true,NOUN,Ms,Abram
Abramie,true,NOUN,W,Abram
Abramowi,true,NOUN,C,Abram
Abraxasa,true,NOUN,D:B,Abraxas
Abraxas,true,NOUN,M,Abraxas
Abraxasem,true,NOUN,N,Abraxas
Abraxasie,true,NOUN,Ms,Abraxas
Abraxasie,true,NOUN,W,Abraxas
Abraxasowi,true,NOUN,C,Abraxas
Absaloma,true,NOUN,D:B,Absalom
Absalom,true,NOUN,M,Absalom
Absalomem,true,NOUN,N,Absalom
Absalomie,true,NOUN,Ms,Absalom
Absalomie,true,NOUN,W,Absalom
Absalomowi,true,NOUN,C,Absalom
Absalona,true,NOUN,D:B,Absalon
Absalon,true,NOUN,M,Absalon
Absalonem,true,NOUN,N,Absalon
Absalonie,true,NOUN,Ms,Absalon
Absalonie,true,NOUN,W,Absalon
Absalonowi,true,NOUN,C,Absalon
Achaba,true,NOUN,D:B,Achab
Achab,true,NOUN,M,Achab
Achabem,true,NOUN,N,Achab
Achabie,true,NOUN,Ms,Achab
Achabie,true,NOUN,W,Achab
Achabowi,true,NOUN,C,Achab
Achacjusza,true,NOUN,D:B,Achacjusz
Achacjusz,true,NOUN,M,Achacjusz
Achacjuszem,true,NOUN,N,Achacjusz
Achacjuszowi,true,NOUN,C,Achacjusz
Achacjuszu,true,NOUN,Ms,Achacjusz
Achacjuszu,true,NOUN,W,Achacjusz
Achacego,true,NOUN,D:B,Achacy
Achacemu,true,NOUN,C,Achacy
Achacy,true,NOUN,M,Achacy
Achacy,true,NOUN,W,Achacy
Achacym,true,NOUN,N,Achacy
Achacym,true,NOUN,Ms,Achacy
Achatesa,true,NOUN,D:B,Achates
Achates,true,NOUN,M,Achates
Achatesem,true,NOUN,N,Achates
Achatesie,true,NOUN,Ms,Achates
Achatesie,true,NOUN,W,Achates
Achatesowi,true,NOUN,C,Achates
Achaza,true,NOUN,D:B,Achaz
Achaz,true,NOUN,M,Achaz
Achazem,true,NOUN,N,Achaz
Achazie,true,NOUN,Ms,Achaz
Achazie,true,NOUN,W,Achaz
Achazowi,true,NOUN,C,Achaz
Achiasza,true,NOUN,D:B,Achiasz
Achiasz,true,NOUN,M,Achiasz
Achiaszem,true,NOUN,N,Achiasz
Achiaszowi,true,NOUN,C,Achiasz
Achiaszu,true,NOUN,Ms,Achiasz
Achiaszu,true,NOUN,W,Achiasz
Achila,true,NOUN,D:B,Achil
Achil,true,NOUN,M,Achil
Achilem,true,NOUN,N,Achil
Achilowi,true,NOUN,C,Achil
Achilu,true,NOUN,Ms,Achil
Achilu,true,NOUN,W,Achil
Achillesa,true,NOUN,D:B,Achilles
Achillesa,true,NOUN,D:B,Achilles
Achilles,true,NOUN,M,Achilles
Achilles,true,NOUN,M,Achilles
Achillesem,true,NOUN,N,Achilles
Achillesem,true,NOUN,N,Achilles
Achillesie,true,NOUN,Ms,Achilles
Achillesie,true,NOUN,Ms,Achilles
Achillesie,true,NOUN,W,Achilles
Achillesie,true,NOUN,W,Achilles
Achillesowi,true,NOUN,C,Achilles
Achillesowi,true,NOUN,C,Achilles
Achimaasa,true,NOUN,D:B,Achimaas
Achimaas,true,NOUN,M,Achimaas
Achimaasem,true,NOUN,N,Achimaas
Achimaasie,true,NOUN,Ms,Achimaas
Achimaasie,true,NOUN,W,Achimaas
Achimaasowi,true,NOUN,C,Achimaas
Achimelecha,true,NOUN,D:B,Achimelech
Achimelech,true,NOUN,M,Achimelech
Achimelechem,true,NOUN,N,Achimelech
Achimelechowi,true,NOUN,C,Achimelech
Achimelechu,true,NOUN,Ms,Achimelech
Achimelechu,true,NOUN,W,Achimelech
Achimeleka,true,NOUN,D:B,Achimelek
Achimelek,true,NOUN,M,Achimelek
Achimelekiem,true,NOUN,N,Achimelek
Achimelekowi,true,NOUN,C,Achimelek
Achimeleku,true,NOUN,Ms,Achimelek
Achimeleku,true,NOUN,W,Achimelek
Achitofela,true,NOUN,D:B,Achitofel
Achitofel,true,NOUN,M,Achitofel
Achitofelem,true,NOUN,N,Achitofel
Achitofelowi,true,NOUN,C,Achitofel
Achitofelu,true,NOUN,Ms,Achitofel
Achitofelu,true,NOUN,W,Achitofel
Achmada,true,NOUN,D:B,Achmad
Achmad,true,NOUN,M,Achmad
Achmadem,true,NOUN,N,Achmad
Achmadowi,true,NOUN,C,Achmad
Achmadzie,true,NOUN,Ms,Achmad
Achmadzie,true,NOUN,W,Achmad
Acisa,true,NOUN,D:B,Acis
Acis,true,NOUN,M,Acis
Acisem,true,NOUN,N,Acis
Acisie,true,NOUN,Ms,Acis
Acisie,true,NOUN,W,Acis
Acisowi,true,NOUN,C,Acis
Ada,false,NOUN,M,Ada
Ad¹,false,NOUN,N,Ada
Adê,false,NOUN,B,Ada
Ado,false,NOUN,W,Ada
Ady,false,NOUN,D,Ada
Adzie,false,NOUN,Ms:C,Ada
Adada,true,NOUN,D:B,Adad
Adad,true,NOUN,M,Adad
Adadem,true,NOUN,N,Adad
Adadowi,true,NOUN,C,Adad
Adadzie,true,NOUN,Ms,Adad
Adadzie,true,NOUN,W,Adad
Adalbercie,true,NOUN,Ms,Adalbert
Adalbercie,true,NOUN,W,Adalbert
Adalberta,true,NOUN,D:B,Adalbert
Adalbert,true,NOUN,M,Adalbert
Adalbertem,true,NOUN,N,Adalbert
Adalbertowi,true,NOUN,C,Adalbert
Adama,true,NOUN,D:B,Adam
Adam,true,NOUN,M,Adam
Adamem,true,NOUN,N,Adam
Adamie,true,NOUN,Ms,Adam
Adamie,true,NOUN,W,Adam
Adamowi,true,NOUN,C,Adam
Adamastora,true,NOUN,D:B,Adamastor
Adamastor,true,NOUN,M,Adamastor
Adamastorem,true,NOUN,N,Adamastor
Adamastorowi,true,NOUN,C,Adamastor
Adamastorze,true,NOUN,Ms,Adamastor
Adamastorze,true,NOUN,W,Adamastor
Adamina,false,NOUN,M,Adamina
Adamin¹,false,NOUN,N,Adamina
Adaminê,false,NOUN,B,Adamina
Adaminie,false,NOUN,Ms:C,Adamina
Adamino,false,NOUN,W,Adamina
Adaminy,false,NOUN,D,Adamina
Adasieczek,true,NOUN,M,Adasieczek
Adasieczka,true,NOUN,D:B,Adasieczek
Adasieczkiem,true,NOUN,N,Adasieczek
Adasieczkowi,true,NOUN,C,Adasieczek
Adasieczku,true,NOUN,Ms,Adasieczek
Adasieczku,true,NOUN,W,Adasieczek
Adasiek,true,NOUN,M,Adasiek
Adaœka,true,NOUN,D:B,Adasiek
Adaœkiem,true,NOUN,N,Adasiek
Adaœkowi,true,NOUN,C,Adasiek
Adaœku,true,NOUN,Ms,Adasiek
Adaœku,true,NOUN,W,Adasiek
Adasia,true,NOUN,D:B,Adaœ
Adasiem,true,NOUN,N,Adaœ
Adasiowi,true,NOUN,C,Adaœ
Adasiu,true,NOUN,Ms,Adaœ
Adasiu,true,NOUN,W,Adaœ
Adaœ,true,NOUN,M,Adaœ
Adaukcie,true,NOUN,Ms,Adaukt
Adaukcie,true,NOUN,W,Adaukt
Adaukta,true,NOUN,D:B,Adaukt
Adaukt,true,NOUN,M,Adaukt
Adauktem,true,NOUN,N,Adaukt
Adauktowi,true,NOUN,C,Adaukt
Addara,true,NOUN,D:B,Addar
Addar,true,NOUN,M,Addar
Addarem,true,NOUN,N,Addar
Addarowi,true,NOUN,C,Addar
Addarze,true,NOUN,Ms,Addar
Addarze,true,NOUN,W,Addar
Adela,false,NOUN,M,Adela
Adel¹,false,NOUN,N,Adela
Adelê,false,NOUN,B,Adela
Adeli,false,NOUN,Ms:C,Adela
Adeli,false,NOUN,D,Adela
Adelo,false,NOUN,W,Adela
Adelu,false,NOUN,W,Adela
Adelaida,false,NOUN,M,Adelaida
Adelaid¹,false,NOUN,N,Adelaida
Adelaidê,false,NOUN,B,Adelaida
Adelaido,false,NOUN,W,Adelaida
Adelaidy,false,NOUN,D,Adelaida
Adelaidzie,false,NOUN,Ms:C,Adelaida
Adelajda,false,NOUN,M,Adelajda
Adelajd¹,false,NOUN,N,Adelajda
Adelajdê,false,NOUN,B,Adelajda
Adelajdo,false,NOUN,W,Adelajda
Adelajdy,false,NOUN,D,Adelajda
Adelajdzie,false,NOUN,Ms:C,Adelajda
Adelbercie,true,NOUN,Ms,Adelbert
Adelbercie,true,NOUN,W,Adelbert
Adelberta,true,NOUN,D:B,Adelbert
Adelbert,true,NOUN,M,Adelbert
Adelbertem,true,NOUN,N,Adelbert
Adelbertowi,true,NOUN,C,Adelbert
Adelina,false,NOUN,M,Adelina
Adelin¹,false,NOUN,N,Adelina
Adelinê,false,NOUN,B,Adelina
Adelinie,false,NOUN,Ms:C,Adelina
Adelino,false,NOUN,W,Adelina
Adeliny,false,NOUN,D,Adelina
Adelce,false,NOUN,Ms:C,Adelka
Adelka,false,NOUN,M,Adelka
Adelk¹,false,NOUN,N,Adelka
Adelkê,false,NOUN,B,Adelka
Adelki,false,NOUN,D,Adelka
Adelko,false,NOUN,W,Adelka
Admecie,true,NOUN,Ms,Admet
Admecie,true,NOUN,W,Admet
Admeta,true,NOUN,D:B,Admet
Admet,true,NOUN,M,Admet
Admetem,true,NOUN,N,Admet
Admetowi,true,NOUN,C,Admet
Ada,true,NOUN,D:B,Ado
Adem,true,NOUN,N,Ado
Ado,true,NOUN,M,Ado
Ado,true,NOUN,W,Ado
Adowi,true,NOUN,C,Ado
Adzie,true,NOUN,Ms,Ado
Adolfa,true,NOUN,D:B,Adolf
Adolf,true,NOUN,M,Adolf
Adolfem,true,NOUN,N,Adolf
Adolfie,true,NOUN,Ms,Adolf
Adolfie,true,NOUN,W,Adolf
Adolfowi,true,NOUN,C,Adolf
Adolfa,false,NOUN,M,Adolfa
Adolf¹,false,NOUN,N,Adolfa
Adolfê,false,NOUN,B,Adolfa
Adolfie,false,NOUN,Ms:C,Adolfa
Adolfo,false,NOUN,W,Adolfa
Adolfy,false,NOUN,D,Adolfa
Adolfek,true,NOUN,M,Adolfek
Adolfka,true,NOUN,D:B,Adolfek
Adolfkiem,true,NOUN,N,Adolfek
Adolfkowi,true,NOUN,C,Adolfek
Adolfku,true,NOUN,Ms,Adolfek
Adolfku,true,NOUN,W,Adolfek
Adolfina,false,NOUN,M,Adolfina
Adolfin¹,false,NOUN,N,Adolfina
Adolfinê,false,NOUN,B,Adolfina
Adolfinie,false,NOUN,Ms:C,Adolfina
Adolfino,false,NOUN,W,Adolfina
Adolfiny,false,NOUN,D,Adolfina
Adoniasza,true,NOUN,D:B,Adoniasz
Adoniasz,true,NOUN,M,Adoniasz
Adoniaszem,true,NOUN,N,Adoniasz
Adoniaszowi,true,NOUN,C,Adoniasz
Adoniaszu,true,NOUN,Ms,Adoniasz
Adoniaszu,true,NOUN,W,Adoniasz
Adonisa,true,NOUN,D:B,Adonis
Adonis,true,NOUN,M,Adonis
Adonisem,true,NOUN,N,Adonis
Adonisie,true,NOUN,Ms,Adonis
Adonisie,true,NOUN,W,Adonis
Adonisowi,true,NOUN,C,Adonis
Adrameleka,true,NOUN,D:B,Adramelek
Adramelek,true,NOUN,M,Adramelek
Adramelekiem,true,NOUN,N,Adramelek
Adramelekowi,true,NOUN,C,Adramelek
Adrameleku,true,NOUN,Ms,Adramelek
Adrameleku,true,NOUN,W,Adramelek
Adrasta,true,NOUN,D:B,Adrast
Adrast,true,NOUN,M,Adrast
Adrastem,true,NOUN,N,Adrast
Adrastowi,true,NOUN,C,Adrast
Adraœcie,true,NOUN,Ms,Adrast
Adraœcie,true,NOUN,W,Adrast
Adria,false,NOUN,M,Adria
Adri¹,false,NOUN,N,Adria
Adriê,false,NOUN,B,Adria
Adrii,false,NOUN,Ms:C,Adria
