Name,Sex
Abdon,true
Abel,true
Abercjusz,true
Abraham,true
Absalon,true
Achacjusz,true
Achacy,true
Achilles,true
Ada,false
Adalbert,true
Adam,true
Adamina,false
Adaukt,true
Addar,true
Adela,false
Adelajda,false
Adelina,false
Ado,true
Adolf,true
Adolfa,false
Adolfina,false
Adria,false
Adrian,true
Adriana,false
Adrianna,false
Afanazy,true
Afrodyta,false
Aga,false
Agapit,true
Agata,false
Agaton,true
Agatonik,true
Agenor,true
Ageusz,true
Agnieszka,false
Agrypina,false
Aida,false
Aisza,false
Alan,true
Alban,true
Albaniusz,true
Albert,true
Alberta,false
Albertyna,false
Albin,true
Albina,false
Albrecht,true
Aldona,false
Aleksander,true
Aleksandra,false
Aleksy,true
Alf,true
Alfons,true
Alfonsyna,false
Alfred,true
Alfreda,false
Ali,true
Alicja,false
Alina,false
Alma,false
Alojza,false
Alojzy,true
Alpinian,true
Amadea,false
Amadeusz,true
Amalia,false
Amata,false
Ambroży,true
Amedeusz,true
Amelia,false
Amiceta,false
Amin,true
Amon,true
Amos,true
Ananiasz,true
Anastazja,false
Anastazy,true
Anatol,true
Anatolia,false
Andonik,true
Andromeda,false
Andron,true
Andrzej,true
Aneta,false
Angel,true
Angela,false
Angelika,false
Angelina,false
Angelus,true
Anicet,true
Aniceta,false
Aniela,false
Anita,false
Anna,false
Antoni,true
Antonin,true
Antonina,false
Antym,true
Anzelm,true
Apolinary,true
Apollo,true
Apolonia,false
Apoloniusz,true
Areta,false
Ariadna,false
Ariel,true
Ariela,false
Arkadiusz,true
Arkady,true
Arleta,false
Arletta,false
Arnold,true
Arnolf,true
Aron,true
Arseniusz,true
Artemon,true
Artur,true
Artus,true
Arystarch,true
Aspazja,false
Asteria,false
Asteriusz,true
Atanazja,false
Atanazy,true
August,true
Augusta,false
Augustyn,true
Augustyna,false
Auksencjusz,true
Aurela,false
Aureli,true
Aurelia,false
Aurelian,true
Aureliusz,true
Aurora,false
Axel,true
Balbin,true
Balbina,false
Balcer,true
Baltazar,true
Barabasz,true
Barbara,false
Barnaba,true
Bartłomiej,true
Bartolomea,false
Bartosz,true
Bazyli,true
Bazylid,true
Bazylis,true
Bazylissa,false
Bazyliusz,true
Będzimir,true
Będzisław,true
Będzisława,false
Bean,true
Beata,false
Beatrice,true
Beatrycze,true
Beatryks,true
Beatus,true
Beda,false
Begina,false
Benedykt,true
Benedykta,false
Beniamin,true
Benicjusz,true
Benigna,false
Benignus,true
Benita,false
Benon,true
Berenika,false
Berenike,true
Berna,false
Bernadeta,false
Bernadetta,false
Bernard,true
Bernardeta,false
Bernardyn,true
Bernardyna,false
Berno,true
Berta,false
Bertold,true
Bertram,true
Bertrand,true
Bibianna,false
Biernat,true
Biruta,false
Bjorn,true
Blandyn,true
Blandyna,false
Blanka,false
Blizbor,true
Błażej,true
Bogdan,true
Bogdana,false
Bogna,false
Boguchwał,true
Boguchwała,false
Bogudar,true
Bogumił,true
Bogumiła,false
Bogumir,true
Bogurad,true
Bogusąd,true
Bogusław,true
Bogusława,false
Bogusz,true
Boguta,false
Boguwola,false
Bohdan,true
Bohdana,false
Bohusz,true
Bolebor,true
Boleczest,true
Bolemir,true
Bolemysł,true
Bolesław,true
Bolesława,false
Bolisława,false
Bonawentura,false
Bonifacy,true
Bończa,false
Borys,true
Borysław,true
Borzymir,true
Borzysław,true
Borzysława,false
Borzywoj,true
Bożebor,true
Bożeciech,true
Bożeciecha,false
Bożena,false
Bożydar,true
Bożymierz,true
Bożysław,true
Bożysława,false
Bożywoj,true
Bratumił,true
Bratumiła,false
Brodzisław,true
Bronimir,true
Bronisław,true
Bronisława,false
Bronisz,true
Broniwoj,true
Bruno,true
Brunon,true
Bryda,false
Brygida,false
Brykcjusz,true
Budzigniew,true
Budzimir,true
Budzisław,true
Budzisława,false
Budzisz,true
Budziwoj,true
Burchard,true
Carmen,true
Cecyl,true
Cecylia,false
Cecylian,true
Cecyliusz,true
Celestyn,true
Celestyna,false
Celina,false
Cezara,false
Cezariusz,true
Cezary,true
Cezaryna,false
Charyzjusz,true
Chociebor,true
Chociemir,true
Chociesław,true
Chrystian,true
Chryzant,true
Chwalibóg,true
Chwalimir,true
Chwalimira,false
Chwalisław,true
Chwalisława,false
Cibor,true
Ciechomir,true
Ciechosław,true
Ciechosława,false
Cierpisław,true
Cieszybor,true
Cieszygor,true
Cieszymir,true
Cieszymysł,true
Cieszyrad,true
Cieszysław,true
Cieszysława,false
Cyntia,false
Cyprian,true
Cyriak,true
Cyriaka,false
Cyrus,true
Cyryl,true
Czcibor,true
Czcibora,false
Czcirad,true
Czcisław,true
Czech,true
Czechasz,true
Czechoń,true
Czesemir,true
Czesław,true
Czesława,false
Częstobor,true
Częstogniew,true
Częstomir,true
Częstowoj,true
Dacjan,true
Dadąbog,true
Dagmara,false
Dagna,false
Dagobert,true
Dalebor,true
Dalegor,true
Dalemir,true
Dalia,false
Dalida,false
Damazy,true
Damian,true
Dan,true
Daniel,true
Daniela,false
Danisz,true
Danuta,false
Daria,false
Dariusz,true
Darosław,true
Dawid,true
Dawida,false
Dąbrówka,false
Delfin,true
Delfina,false
Demetria,false
Demetriusz,true
Demokryt,true
Dersław,true
Dezyderia,false
Dezyderiusz,true
Dezydery,true
Diana,false
Dianna,false
Dina,false
Diogenes,true
Diomada,false
Dionizja,false
Dionizjusz,true
Dionizy,true
Ditta,false
Długosz,true
Dobiegniew,true
Dobiemiest,true
Dobiemir,true
Dobiesław,true
Dobiesława,false
Dobisława,false
Dobrawa,false
Dobrocha,false
Dobrochna,false
Dobrociech,true
Dobrogniew,true
Dobrogost,true
Dobromierz,true
Dobromił,true
Dobromiła,false
Dobromir,true
Dobromira,false
Dobromysł,true
Dobronieg,true
Dobroniega,false
Dobrosław,true
Dobrosława,false
Dobrowiest,true
Dobrowit,true
Dobrowój,true
Dobrymir,true
Dolores,true
Domamir,true
Domarad,true
Domarat,true
Domasław,true
Domasława,false
Domawit,true
Domicela,false
Domicjan,true
Dominik,true
Dominika,false
Domisława,false
Domosław,true
Domosława,false
Donat,true
Donata,false
Dorian,true
Doris,false
Dorota,false
Dragomir,true
Drogomił,true
