suffix,man,D,C,B,N,Ms,W
awa,false,awy,awie,awę,awą,awie,awo
ina,false,iny,inie,inę,iną,inie,ino
yna,false,yny,ynie,ynę,yną,ynie,yno
da,false,dy,dzie,dę,dą,dzie,do
ela,false,eli,eli,elę,elą,eli,elo
ta,false,ty,cie,tę,tą,cie,to
anna,false,anny,annie,annę,anną,annie,anno
ena,false,eny,enie,enę,eną,enie,eno
ta,false,ty,cie,tę,tą,cie,to
ja,false,ji,ji,ję,ją,ji,jo
ana,false,any,anie,anę,aną,anie,ano
ław,true,ława,ławowi,ława,ławem,ławie,ławie
imir,true,imira,imirowi,imira,imirem,imirze,imirze
omir,true,omira,omirowi,omira,omirem,omirze,omirze
niew,true,niewa,niewowi,niewa,niewem,niewie,niewie
jusz,true,jusza,juszowi,juza,juszem,juszu,juszu
bert,true,berta,bertowi,berta,bertem,bercie,bercie
jan,true,jana,janowi,jana,janem,janie,janie
acy,true,acego,acemu,acego,acym,acym,acy
ej,true,drzeja,drzejowi,drzeja,drzejem,drzeju,drzeju
riusz,true,riusza,riuszowi,riusza,riuszem,riuszu,riuszu
niel,true,niela,nielowi,niela,nielem,nielu,nielu
rol,true,rola,rolowi,rola,rolem,rolu,rolu
old,true,olda,oldowi,olda,oldem,oldzie,oldzie
asz,true,asza,aszowi,asza,aszem,aszu,aszu
