NAME,COUNT
Jan,446
Andrzej,398
Piotr,311
Jerzy,286
Stanisław,260
Tomasz,255
Robert,231
Marek,212
Paweł,198
Krzysztof,192
Adam,188
Marcin,186
Tadeusz,184
Henryk,180
Michał,173
Wojciech,160
Jacek,154
Maciej,154
Janusz,153
Ryszard,151
Stefan,148
Zbigniew,147
Grzegorz,145
Kazimierz,140
Daniel,137
Władysław,137
Dariusz,131
Roman,122
Marian,113
Łukasz,112
Edward,110
Maria,105
Zygmunt,103
Artur,101
Mariusz,100
Antoni,98
Rafał,94
Jarosław,93
Franciszek,93
Mirosław,92
Anna,91
Leszek,90
Jakub,86
Karol,85
Aleksander,84
Mieczysław,84
Włodzimierz,80
Sebastian,72
Wiktor,69
Zdzisław,63
Stanisława,62
Radosław,62
Wiesław,60
Sławomir,60
Barbara,58
Arkadiusz,58
Bartosz,58
Czesław,57
Waldemar,56
Alfred,54
Kamil,54
Mateusz,52
Aleksandra,51
Iwan,49
Ludwik,49
Dawid,48
Roger,48
Igor,48
Krystyna,48
Szymon,47
Otto,47
Rudolf,46
Walter,46
Katarzyna,44
Konrad,44
Klaus,43
Edmund,43
Wolfgang,43
Lech,43
Witold,42
Bogdan,42
Jadwiga,42
Przemysław,41
Adrian,41
Wilhelm,40
Hubert,39
Bogusław,39
Helena,39
Albert,38
Zofia,38
Irena,38
Teresa,37
Joanna,37
Wacław,37
Filip,37
Eugeniusz,36
Emil,36
Agnieszka,35
Halina,35
Magdalena,34
Leon,34
Elżbieta,34
Julian,34
Hugo,34
Bronisław,34
Małgorzata,33
Adolf,33
Samuel,32
Joachim,32
Werner,32
Bernard,32
Ewa,31
Marcel,31
Herbert,30
Mikołaj,30
Gerard,29
Alan,29
Wojciecha,29
Bolesław,29
Bohdan,29
Manfred,29
Bartłomiej,28
Kurt,27
Ali,27
Ignacy,27
Franciszka,27
Bruno,26
Władysława,26
Wanda,26
Damian,25
Norbert,25
Helmut,25
Cezary,25
Karola,25
Rafael,24
Feliks,24
Gabriel,24
Ireneusz,24
Henryka,24
Karolina,24
Krzysztofa,23
Lucjan,23
Erwin,23
Paula,22
Teodor,22
Patryk,22
Daniela,22
Ernest,21
Danuta,21
Natalia,21
Dominik,21
Zenon,21
August,21
Ludwika,21
Juliusz,20
Monika,20
Roberta,20
Edgar,20
Beata,19
Florian,19
Denis,19
Dorota,19
